division,title_fight,method,finish_round,match_time_sec,total_rounds,r_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner
lightweight,0,KO/TKO,1,217,3,Jared Gordon,21,7,0,175.26,70.31,172.72,Orthodox,1988-09-06,5.67,55,3.91,56,1.83,32,62,0,Thiago Moises,19,9,0,175.26,70.31,177.8,Orthodox,1995-03-23,2.48,42,4.08,53,1.31,35,52,1.1,Jared Gordon
women's strawweight,0,KO/TKO,2,30,3,Elise Reed,8,5,0,160.02,52.16,160.02,Orthodox,1992-12-05,3.41,53,3.26,51,0.46,60,53,0,Denise Gomes,11,3,0,157.48,52.16,160.02,Orthodox,1999-12-30,4.59,50,3.04,51,1.19,36,67,0.8,Denise Gomes
welterweight,0,Decision - Unanimous,5,300,5,Ian Machado Garry,16,1,0,190.5,77.11,187.96,Orthodox,1997-11-17,4.77,54,2.77,51,1.02,33,73,0.4,Carlos Prates,21,7,0,185.42,77.11,198.12,Switch,1993-08-17,3.6,54,4.79,48,0.25,100,83,0,Ian Machado Garry
women's bantamweight,0,Submission,2,299,3,Luana Santos,9,2,0,167.64,61.23,170.18,Orthodox,2000-04-16,3.69,52,3.4,62,1.91,50,83,1.3,Tainara Lisboa,7,3,0,170.18,61.23,170.18,Orthodox,1991-03-02,1.68,43,1.42,49,1.53,36,58,0.4,Luana Santos
light heavyweight,0,KO/TKO,1,243,3,Anthony Smith,38,22,0,193.04,92.99,193.04,Orthodox,1988-07-26,3.19,49,5.04,44,0.44,22,50,0.6,Zhang Mingyang,19,6,0,187.96,92.99,190.5,Orthodox,1998-08-16,10.91,64,4.55,53,0,0,50,0,Zhang Mingyang
flyweight,0,Submission,1,146,3,HyunSung Park,10,0,0,170.18,56.7,167.64,Orthodox,1995-11-04,4.27,46,3.29,60,1.9,33,100,2.9,Carlos Hernandez,10,5,0,172.72,56.7,170.18,Orthodox,1993-10-25,3.83,45,3.5,50,1.56,21,65,0.2,HyunSung Park
women's strawweight,0,Decision - Unanimous,3,300,3,Tecia Pennington,15,7,0,154.94,52.16,152.4,Orthodox,1989-08-16,4.78,48,3.48,61,0.54,13,62,0.1,Luana Pinheiro,11,5,0,157.48,52.16,157.48,Orthodox,1992-11-18,3.29,39,4.06,60,2.33,37,71,0.2,Tecia Pennington
middleweight,0,Decision - Unanimous,3,300,3,Michel Pereira,31,13,0,185.42,83.91,185.42,Orthodox,1993-10-06,4.5,52,4.33,51,1.14,52,76,0.7,Abus Magomedov,28,6,1,187.96,83.91,198.12,Orthodox,1990-09-02,3.21,48,3.68,56,2.65,57,100,0.2,Abus Magomedov
featherweight,0,Decision - Unanimous,3,300,3,Giga Chikadze,15,5,0,182.88,65.77,187.96,Orthodox,1988-08-25,3.82,42,3.48,60,0.19,33,65,0.2,David Onama,14,2,0,180.34,65.77,187.96,Orthodox,1994-06-07,5.24,50,4.73,52,1.08,30,52,0.5,David Onama
welterweight,0,KO/TKO,2,99,3,Randy Brown,20,6,0,190.5,77.11,198.12,Orthodox,1990-07-08,4.47,47,3.26,54,0.79,39,73,0.6,Nicolas Dalby,23,6,1,180.34,77.11,187.96,Orthodox,1984-11-16,4.05,43,3.69,52,0.98,27,58,0.1,Randy Brown
middleweight,0,KO/TKO,1,294,3,Ikram Aliskerov,16,2,0,182.88,83.91,193.04,Southpaw,1992-12-07,7.76,62,5.78,41,1.14,33,100,1.1,Andre Muniz,24,7,0,185.42,83.91,198.12,Southpaw,1990-02-17,2.04,49,2.33,51,4.02,49,35,1.2,Ikram Aliskerov
flyweight,0,Decision - Unanimous,3,300,3,Matt Schnell,17,9,0,172.72,56.7,177.8,Orthodox,1990-01-15,4.13,40,4.17,55,0.49,40,43,1.2,Jimmy Flick,17,9,0,170.18,56.7,172.72,Orthodox,1990-09-07,1.67,50,4.7,43,2.36,33,0,3.5,Matt Schnell
featherweight,0,Decision - Split,3,300,3,Chris Gutierrez,22,6,2,175.26,61.23,170.18,Orthodox,1991-04-22,4.59,58,2.65,63,0.24,25,70,0.1,John Castaneda,21,8,0,167.64,61.23,180.34,Switch,1991-12-18,4.42,50,4.94,53,1.68,37,73,0.1,Chris Gutierrez
lightweight,0,Decision - Unanimous,3,300,3,Evan Elder,10,2,0,177.8,70.31,182.88,Switch,1997-04-11,5.66,50,4.94,57,0.48,15,40,0.5,Gauge Young,9,3,0,175.26,70.31,177.8,Orthodox,2000-07-14,4.83,48,6.53,44,0,0,64,0,Evan Elder
bantamweight,0,KO/TKO,1,119,3,Malcolm Wellmaker,10,0,0,177.8,61.23,180.34,Switch,1994-06-04,7.2,62,4.8,60,0,0,100,0,Cameron Saaiman,9,3,0,172.72,61.23,170.18,Southpaw,2000-12-20,5.3,46,4.14,51,0.89,28,47,0.7,Malcolm Wellmaker
bantamweight,0,Decision - Unanimous,3,300,3,Da'Mon Blackshear,17,7,1,177.8,61.23,182.88,Switch,1994-08-12,4.7,46,4.15,52,1.56,36,71,1.6,Alatengheili,17,10,2,165.1,61.23,167.64,Orthodox,1991-12-14,2.82,32,5.12,57,1.74,43,75,0,Da'Mon Blackshear
women's strawweight,0,Submission,2,109,3,Jaqueline Amorim,10,1,0,160.02,52.16,172.72,Orthodox,1995-06-24,2.68,53,1.43,64,2.22,37,0,4.8,Polyana Viana,13,8,0,165.1,52.16,170.18,Orthodox,1992-06-14,2.74,40,2.5,53,0.75,33,35,1.7,Jaqueline Amorim
women's bantamweight,0,KO/TKO,1,151,3,Chelsea Chandler,6,4,0,172.72,61.23,172.72,Southpaw,1990-11-23,3.55,45,4.44,40,0.87,60,28,0,Joselyne Edwards,15,6,0,172.72,61.23,177.8,Orthodox,1995-09-29,4.62,53,3.2,49,1.31,41,61,0.6,Joselyne Edwards
featherweight,0,KO/TKO,2,235,3,Timmy Cuamba,9,3,0,175.26,65.77,180.34,Orthodox,1999-02-08,3.12,42,4.3,58,1.11,26,80,0,Roberto Romero,8,5,1,172.72,65.77,177.8,Orthodox,2000-01-30,4.56,49,6.44,44,0,0,71,0,Timmy Cuamba
middleweight,0,KO/TKO,2,113,3,Reinier de Ridder,20,2,0,193.04,83.91,198.12,Southpaw,1990-09-07,3.25,60,2.21,44,4.74,38,66,1.4,Bo Nickal,7,1,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.36,59,2.11,58,3.34,53,100,2.9,Reinier de Ridder
welterweight,0,KO/TKO,3,72,3,Santiago Ponzinibbio,31,9,0,182.88,77.11,185.42,Orthodox,1986-09-26,4.78,41,4.68,61,0.6,27,71,0,Daniel Rodriguez,19,5,0,185.42,77.11,187.96,Southpaw,1986-12-31,7.39,48,5.39,57,0.55,54,63,0.1,Daniel Rodriguez
bantamweight,0,KO/TKO,2,248,5,Cory Sandhagen,18,5,0,180.34,61.23,177.8,Switch,1992-04-20,5.06,45,3.34,56,1.28,34,63,0.3,Deiveson Figueiredo,24,5,1,165.1,61.23,172.72,Orthodox,1987-12-18,2.82,54,3.64,49,1.69,35,58,1.4,Cory Sandhagen
bantamweight,0,Decision - Unanimous,3,300,3,Montel Jackson,15,2,0,177.8,61.23,190.5,Southpaw,1992-04-24,3.22,53,1.39,62,3.24,62,68,0.4,Daniel Marcos,17,1,0,170.18,61.23,175.26,Orthodox,1993-03-07,5.11,53,3.88,61,0.99,46,84,0,Montel Jackson
bantamweight,0,Decision - Unanimous,3,300,3,Cameron Smotherman,12,6,0,175.26,61.23,175.26,Orthodox,1997-09-17,4.07,37,3.52,58,0,0,62,0,Serhiy Sidey,12,2,0,180.34,61.23,182.88,Switch,1996-07-04,4.49,39,4.26,54,1.58,25,20,1.3,Serhiy Sidey
