division,title_fight,method,finish_round,match_time_sec,total_rounds,r_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner
light heavyweight,0,Decision - Unanimous,5,300,5,Paulo Costa,14,4,0,185.42,83.91,182.88,Orthodox,1991-04-21,6.22,58,6.56,49,0.36,75,80,0,Marvin Vettori,19,8,1,182.88,83.91,187.96,Southpaw,1993-09-20,4.54,46,4.37,56,1.51,45,69,0.4,Marvin Vettori
lightweight,0,Decision - Unanimous,3,300,3,Mason Jones,16,2,0,177.8,70.31,187.96,Orthodox,1995-04-26,5.56,41,4.46,48,4.24,52,80,0,David Onama,14,2,0,180.34,65.77,187.96,Orthodox,1994-06-07,5.24,50,4.73,52,1.08,30,52,0.5,Mason Jones
flyweight,0,KO/TKO,2,46,3,Jeff Molina,11,2,0,167.64,56.7,175.26,Orthodox,1997-07-17,7.25,48,5.04,55,0,0,66,0,Daniel Lacerda,11,6,0,167.64,56.7,177.8,Switch,1996-06-05,3.95,45,8.28,34,2.32,50,0,1.2,Jeff Molina
bantamweight,0,Decision - Unanimous,3,300,3,Jonathan Martinez,19,6,0,172.72,61.23,177.8,Southpaw,1994-04-20,4.44,49,4.09,56,0.38,35,68,0.1,Zviad Lazishvili,13,1,0,167.64,61.23,175.26,Orthodox,1991-10-25,4.2,39,6.13,51,0,0,0,0,Jonathan Martinez
middleweight,0,Decision - Unanimous,3,300,3,Jamie Pickett,13,11,0,187.96,83.91,203.2,Orthodox,1988-08-29,2.65,47,3.62,50,1.26,40,67,0.1,Laureano Staropoli,9,5,0,185.42,83.91,180.34,Orthodox,1993-02-27,3.31,34,3.73,54,0.83,26,48,0,Jamie Pickett
middleweight,0,KO/TKO,2,193,3,JunYong Park,19,6,0,177.8,83.91,185.42,Orthodox,1991-02-27,4.59,50,3.59,53,1.87,42,57,0.9,Gregory Rodrigues,17,6,0,190.5,83.91,190.5,Orthodox,1992-02-17,5.54,51,5.04,50,2.21,38,90,0.3,Gregory Rodrigues
featherweight,1,Decision - Unanimous,5,300,5,Alexander Volkanovski,27,4,0,167.64,65.77,180.34,Orthodox,1988-09-29,6.18,56,3.36,58,1.67,34,70,0.2,Brian Ortega,16,4,0,172.72,65.77,175.26,Switch,1991-02-21,4.08,37,6.59,49,1.07,26,55,1.1,Alexander Volkanovski
lightweight,0,KO/TKO,1,167,3,Khama Worthy,16,9,0,180.34,70.31,187.96,Orthodox,1986-10-15,4.18,48,4.45,46,0,0,57,0.7,Jai Herbert,13,6,1,185.42,70.31,195.58,Orthodox,1988-05-13,3.07,40,3.26,53,0.43,21,66,0,Jai Herbert
bantamweight,0,KO/TKO,2,265,3,Marlon Moraes,23,10,1,167.64,61.23,170.18,Orthodox,1988-04-26,3.37,40,4.53,54,0.87,41,46,0.3,Merab Dvalishvili,20,4,0,167.64,61.23,172.72,Orthodox,1991-01-10,4.31,42,2.48,56,5.84,35,82,0.3,Merab Dvalishvili
women's flyweight,1,KO/TKO,4,240,5,Valentina Shevchenko,25,4,1,165.1,56.7,167.64,Southpaw,1988-03-07,3.14,52,2.06,63,2.62,60,75,0.3,Lauren Murphy,16,7,0,165.1,56.7,170.18,Orthodox,1983-07-27,3.94,38,5.19,56,1.09,24,67,0.2,Valentina Shevchenko
heavyweight,0,KO/TKO,2,83,3,Shamil Abdurakhimov,20,8,0,190.5,106.59,193.04,Orthodox,1981-09-02,2.41,44,3.02,55,1.01,23,45,0.1,Chris Daukaus,12,7,0,190.5,92.99,193.04,Orthodox,1989-09-25,6.05,50,4.64,55,0,0,100,0,Chris Daukaus
women's strawweight,0,Decision - Unanimous,3,300,3,Livinha Souza,14,4,0,160.02,52.16,160.02,Orthodox,1991-03-11,1.75,45,3.6,56,2.54,45,40,1.4,Randa Markos,11,12,1,162.56,52.16,160.02,Orthodox,1985-08-10,2.97,43,3.1,58,1.12,28,52,0.2,Randa Markos
heavyweight,0,Decision - Unanimous,3,300,3,Curtis Blaydes,19,5,0,193.04,120.2,203.2,Orthodox,1991-02-18,3.56,50,2,58,5.38,48,31,0,Jairzinho Rozenstruik,15,6,0,187.96,109.77,198.12,Orthodox,1988-03-17,3.48,48,2.63,52,0,0,72,0,Curtis Blaydes
women's flyweight,0,KO/TKO,1,294,3,Jessica Andrade,26,14,0,154.94,52.16,157.48,Orthodox,1991-09-25,6.39,50,5.49,54,2.21,54,71,0.3,Cynthia Calvillo,9,6,1,162.56,52.16,162.56,Orthodox,1987-07-13,4.41,38,4.12,64,1.8,44,77,0.8,Jessica Andrade
women's flyweight,0,Decision - Unanimous,3,300,3,Roxanne Modafferi,25,21,0,170.18,56.7,175.26,Orthodox,1982-09-24,3.35,30,5.7,51,1.35,23,30,0.1,Taila Santos,19,3,0,167.64,56.7,172.72,Orthodox,1993-06-22,3.39,48,2.64,58,2,76,86,1.1,Taila Santos
middleweight,0,Decision - Unanimous,3,300,3,Cody Brundage,11,7,0,182.88,83.91,182.88,Orthodox,1994-05-16,2.23,52,2.9,46,1.87,47,68,0.8,Nick Maximov,8,2,0,182.88,83.91,193.04,Southpaw,1997-12-23,1.93,45,2.64,46,4.16,45,35,0.2,Nick Maximov
lightweight,0,Decision - Unanimous,3,300,3,Dan Hooker,24,12,0,182.88,70.31,190.5,Switch,1990-02-13,5.03,48,4.72,51,0.73,34,78,0.3,Nasrat Haqparast,18,5,0,177.8,70.31,182.88,Southpaw,1995-08-22,6.4,45,6.01,63,0.35,20,84,0,Dan Hooker
middleweight,0,KO/TKO,3,44,5,Nick Diaz,26,10,0,185.42,77.11,193.04,Southpaw,1983-08-02,5.71,42,3.84,59,1.28,32,60,1,Robbie Lawler,30,16,0,180.34,77.11,187.96,Southpaw,1982-03-20,3.85,47,4.67,59,0.65,64,65,0,Robbie Lawler
featherweight,0,Submission,2,211,3,Jonathan Pearce,14,7,0,182.88,65.77,180.34,Switch,1992-05-01,5.12,54,3.32,54,5.02,50,55,0.8,Omar Morales,11,4,0,180.34,70.31,185.42,Orthodox,1985-10-17,3.42,40,3.18,58,0.46,100,63,0,Jonathan Pearce
lightweight,0,Submission,1,241,3,Uros Medic,10,3,0,185.42,77.11,180.34,Southpaw,1993-04-25,5.49,60,3.46,56,0.37,50,55,0,Jalin Turner,14,9,0,190.5,70.31,195.58,Southpaw,1995-05-18,5.53,48,4.55,41,0.77,55,75,1.1,Jalin Turner
women's strawweight,0,Decision - Unanimous,5,300,5,Mackenzie Dern,15,5,0,162.56,52.16,160.02,Orthodox,1993-03-24,3.31,40,3.9,52,0.89,17,25,1.2,Marina Rodriguez,17,6,2,167.64,52.16,165.1,Orthodox,1987-04-29,4.51,46,3.01,55,0.27,50,61,0.3,Marina Rodriguez
welterweight,0,KO/TKO,1,15,3,Matthew Semelsberger,11,8,0,185.42,77.11,190.5,Switch,1992-11-23,3.77,42,4.24,54,1.01,57,45,0.4,Martin Sano,4,3,1,180.34,77.11,190.5,Orthodox,1991-05-30,4,33,12,40,0,0,0,0,Matthew Semelsberger
flyweight,0,Decision - Unanimous,3,300,3,Tim Elliott,21,13,1,170.18,56.7,167.64,Southpaw,1986-12-24,3.39,44,2.66,56,3.73,47,59,1,Matheus Nicolau,19,6,1,167.64,56.7,167.64,Orthodox,1993-01-06,3.31,51,2.98,65,1.22,43,90,0.8,Matheus Nicolau
women's flyweight,0,Submission,3,53,3,Sabina Mazo,9,4,0,170.18,56.7,177.8,Orthodox,1997-03-25,6.1,43,4.35,57,0.65,80,59,0.2,Mariya Agapova,10,5,0,167.64,56.7,172.72,Southpaw,1997-04-07,4.43,54,3.62,52,0.55,66,45,0.8,Mariya Agapova
welterweight,0,Decision - Unanimous,3,300,3,Randy Brown,20,6,0,190.5,77.11,198.12,Orthodox,1990-07-08,4.47,47,3.26,54,0.79,39,73,0.6,Jared Gooden,23,10,0,182.88,77.11,195.58,Orthodox,1993-12-05,4.4,48,6.74,45,0.91,45,65,0.4,Randy Brown
heavyweight,0,KO/TKO,2,283,3,Alexandr Romanov,18,3,0,187.96,118.84,190.5,Southpaw,1990-12-11,3.78,51,2.13,54,4.49,55,28,0.9,Jared Vanderaa,12,10,0,193.04,120.2,203.2,Orthodox,1992-05-12,4.96,44,5.67,45,0.18,50,20,0,Alexandr Romanov
featherweight,0,Decision - Unanimous,3,300,3,Charles Rosa,14,8,0,175.26,65.77,175.26,Switch,1986-08-24,3.08,36,3.86,47,1.67,35,38,1,Damon Jackson,23,8,1,180.34,70.31,180.34,Switch,1988-08-08,2.96,42,3.47,49,2.3,32,37,1.2,Damon Jackson
women's strawweight,0,Submission,1,254,3,Loopy Godinez,13,5,0,157.48,52.16,154.94,Orthodox,1993-09-06,4.28,48,3.87,61,3.12,47,81,0.9,Silvana Gomez Juarez,11,5,0,160.02,52.16,165.1,Orthodox,1984-12-06,4.26,32,4.04,61,0,0,30,0,Loopy Godinez
lightweight,0,KO/TKO,2,111,3,Steve Garcia,18,5,0,182.88,65.77,190.5,Southpaw,1992-05-22,5.18,48,2.2,57,0.9,40,88,0.5,Charlie Ontiveros,11,9,0,187.96,70.31,187.96,Switch,1991-07-04,1.89,41,5.86,31,0,0,30,0,Steve Garcia
bantamweight,0,Decision - Split,3,300,3,Chris Gutierrez,22,6,2,175.26,61.23,170.18,Orthodox,1991-04-22,4.59,58,2.65,63,0.24,25,70,0.1,Felipe Colares,10,4,0,172.72,65.77,175.26,Orthodox,1994-03-31,2.17,45,4.65,36,1.88,24,43,0.5,Chris Gutierrez
light heavyweight,0,Decision - Unanimous,5,300,5,Thiago Santos,22,11,0,187.96,92.99,193.04,Orthodox,1984-01-07,3.72,48,2.57,53,0.88,33,65,0.1,Johnny Walker,21,9,0,198.12,92.99,208.28,Orthodox,1992-03-30,3.87,53,3.12,44,0.45,100,57,0.9,Thiago Santos
middleweight,0,Decision - Split,3,300,3,Misha Cirkunov,15,9,0,190.5,92.99,195.58,Orthodox,1987-02-27,3.86,51,3.06,57,4.15,39,76,1.7,Krzysztof Jotko,24,6,0,185.42,83.91,195.58,Southpaw,1989-08-19,2.98,42,2.23,57,1.33,39,82,0.1,Krzysztof Jotko
welterweight,0,Decision - Unanimous,3,300,3,Alex Oliveira,22,12,1,180.34,77.11,193.04,Orthodox,1988-02-21,2.99,51,2.55,46,2.35,38,63,0.6,Niko Price,16,9,0,182.88,77.11,193.04,Orthodox,1989-09-29,5.13,43,5.55,48,0.98,28,50,0.6,Niko Price
middleweight,0,Overturned,1,223,3,Kevin Holland,28,13,0,190.5,77.11,205.74,Orthodox,1992-11-05,4.24,50,3.11,50,0.81,39,55,0.6,Kyle Daukaus,11,4,0,190.5,83.91,193.04,Southpaw,1993-02-27,3.22,52,2.94,42,2.12,25,82,1.9,
women's flyweight,0,KO/TKO,2,287,3,Antonina Shevchenko,10,4,0,172.72,56.7,170.18,Southpaw,1984-11-20,3.86,55,2.93,52,0.43,42,53,0.4,Casey O'Neill,10,2,0,167.64,56.7,175.26,Orthodox,1997-10-07,7.89,52,5.65,57,1.45,34,70,0.7,Casey O'Neill
lightweight,0,KO/TKO,2,171,3,Devonte Smith,11,4,0,175.26,70.31,193.04,Orthodox,1993-07-30,4.55,53,3.91,49,0.35,25,85,0.3,Jamie Mullarkey,17,8,0,182.88,70.31,187.96,Orthodox,1994-08-17,4.39,46,4.53,53,2.31,34,78,0.1,Jamie Mullarkey
lightweight,0,Decision - Split,3,300,3,Joe Solecki,13,6,0,175.26,70.31,177.8,Orthodox,1993-08-27,1.97,53,1.85,50,2.06,48,14,1.4,Jared Gordon,21,7,0,175.26,70.31,172.72,Orthodox,1988-09-06,5.67,55,3.91,56,1.83,32,62,0,Jared Gordon
lightweight,0,KO/TKO,1,80,3,Alexander Hernandez,16,8,0,175.26,70.31,182.88,Orthodox,1992-10-01,4.38,40,4.62,57,1.24,36,71,0.1,Mike Breeden,11,6,0,177.8,70.31,177.8,Orthodox,1989-04-21,5.75,45,7.28,42,0.98,30,67,0,Alexander Hernandez
women's bantamweight,0,KO/TKO,2,142,3,Stephanie Egger,8,5,0,167.64,61.23,172.72,Orthodox,1988-08-12,2.2,46,2.48,52,2.48,42,50,0.6,Shanna Young,9,6,0,170.18,56.7,165.1,Orthodox,1991-02-20,3.18,47,4.88,43,0,0,53,0.6,Stephanie Egger
middleweight,0,Submission,3,133,5,Derek Brunson,23,9,0,185.42,83.91,195.58,Southpaw,1984-01-04,3.51,47,3.05,51,3.14,33,85,0.6,Darren Till,18,5,1,182.88,83.91,187.96,Southpaw,1992-12-24,2.3,46,3.31,56,0.55,46,69,0,Derek Brunson
bantamweight,0,Submission,2,253,3,Alejandro Perez,23,9,1,167.64,61.23,170.18,Orthodox,1989-09-02,3.45,35,3.18,61,0.54,22,70,0.3,Johnny Eduardo,28,13,0,170.18,61.23,180.34,Orthodox,1978-08-03,2.95,39,3.22,63,0.22,20,58,0.4,Alejandro Perez
women's bantamweight,0,Decision - Unanimous,3,300,3,Bethe Correia,11,6,1,165.1,61.23,162.56,Orthodox,1983-06-22,4.37,43,4.93,56,0.39,18,85,0,Karol Rosa,18,7,0,165.1,61.23,170.18,Orthodox,1994-12-30,6.22,55,4.84,49,1.09,46,70,0,Karol Rosa
bantamweight,0,KO/TKO,1,124,3,Douglas Silva de Andrade,29,6,0,170.18,61.23,172.72,Orthodox,1985-06-22,3.54,38,3.93,57,0.55,42,72,0.2,Gaetano Pirrello,15,7,1,170.18,61.23,165.1,Orthodox,1992-04-29,0.99,55,2.44,42,0,0,30,0,Douglas Silva de Andrade
heavyweight,0,KO/TKO,1,150,3,Tom Aspinall,15,3,0,195.58,116.12,198.12,Orthodox,1993-04-11,8.07,67,2.89,65,3.27,100,100,1.6,Serghei Spivac,17,6,0,190.5,117.93,198.12,Orthodox,1995-01-24,3.45,48,4.25,50,4.21,62,63,0.5,Tom Aspinall
light heavyweight,0,KO/TKO,2,150,3,Modestas Bukauskas,18,6,0,190.5,92.99,198.12,Switch,1994-02-10,3.26,42,4.07,51,0.31,66,77,0.2,Khalil Rountree Jr.,15,6,0,185.42,92.99,193.04,Southpaw,1990-02-26,3.79,40,4.24,49,0,0,58,0.1,Khalil Rountree Jr.
bantamweight,0,Decision - Unanimous,3,300,3,Jack Shore,17,3,0,172.72,65.77,180.34,Orthodox,1995-02-06,3.6,58,2.31,56,3.22,39,74,0.6,Liudvik Sholinian,9,4,1,177.8,61.23,180.34,Orthodox,1990-01-20,2.5,30,5.67,55,0,0,66,0,Jack Shore
lightweight,0,KO/TKO,1,265,3,Paddy Pimblett,23,3,0,177.8,70.31,185.42,Orthodox,1995-01-03,5.19,53,3.14,42,0.96,28,50,1.7,Luigi Vendramini,9,3,0,172.72,70.31,185.42,Orthodox,1996-01-16,2.82,40,3.82,57,1.11,15,100,0.6,Paddy Pimblett
catch weight,0,Submission,3,176,3,Julian Erosa,31,13,0,185.42,65.77,187.96,Southpaw,1989-07-31,6.21,48,6.27,48,1.78,43,61,0.7,Charles Jourdain,16,8,1,175.26,61.23,175.26,Switch,1995-11-27,5.43,48,4.27,56,0.34,21,47,0.6,Julian Erosa
women's flyweight,0,Decision - Unanimous,3,300,3,Molly McCann,14,8,0,162.56,52.16,157.48,Orthodox,1990-05-04,5.28,49,4.65,62,1.78,36,38,0.5,Ji Yeon Kim,9,7,2,170.18,56.7,182.88,Orthodox,1989-10-18,5.37,36,5.41,56,0,0,50,0.1,Molly McCann
welterweight,0,Decision - Unanimous,3,300,3,Alex Morono,24,12,0,180.34,77.11,182.88,Orthodox,1990-08-16,5.03,40,4.78,56,0.33,24,47,0.3,David Zawada,17,7,0,182.88,77.11,190.5,Orthodox,1990-08-01,3.84,41,4.54,55,0.97,33,57,1.7,Alex Morono
light heavyweight,0,Decision - Unanimous,3,300,3,Ion Cutelaba,19,11,1,185.42,92.99,190.5,Southpaw,1993-12-14,4.26,43,3.34,47,3.77,49,75,0.1,Devin Clark,14,9,0,182.88,92.99,190.5,Orthodox,1990-04-12,3.03,54,3.24,44,2.17,32,58,0.1,Ion Cutelaba
lightweight,0,KO/TKO,1,129,3,Arman Tsarukyan,22,3,0,170.18,70.31,182.88,Orthodox,1996-10-11,3.79,48,1.84,53,3.25,37,75,0,Christos Giagos,20,12,0,177.8,70.31,180.34,Orthodox,1990-01-23,3.03,41,3.21,50,2.84,36,52,0.4,Arman Tsarukyan
women's flyweight,0,Decision - Unanimous,3,300,3,Ariane da Silva,17,11,0,167.64,56.7,170.18,Orthodox,1994-01-26,4.05,41,4.4,50,0.47,38,68,0.3,Mandy Bohm,8,2,0,170.18,56.7,180.34,Orthodox,1989-07-30,2.51,45,3.24,60,0.72,18,75,0.7,Ariane da Silva
middleweight,0,Decision - Unanimous,3,300,3,Dalcha Lungiambula,11,6,0,172.72,83.91,193.04,Orthodox,1987-07-31,3.07,45,3.93,52,2.14,45,77,0,Marc-Andre Barriault,17,9,0,185.42,83.91,187.96,Orthodox,1990-02-18,6.02,47,5.57,52,0.21,25,67,0.1,Marc-Andre Barriault
bantamweight,0,KO/TKO,2,130,3,Nate Maness,16,3,0,177.8,56.7,182.88,Orthodox,1991-06-27,3.14,50,3.88,42,0.68,75,80,0.7,Tony Gravely,23,9,0,165.1,61.23,175.26,Orthodox,1991-09-28,3.82,48,4.47,44,5.4,41,52,0.3,Nate Maness
light heavyweight,0,Submission,1,227,5,Anthony Smith,38,22,0,193.04,92.99,193.04,Orthodox,1988-07-26,3.19,49,5.04,44,0.44,22,50,0.6,Ryan Spann,22,11,0,195.58,92.99,200.66,Orthodox,1991-08-24,3.2,39,4.21,43,1.17,31,52,1.5,Anthony Smith
women's bantamweight,0,Decision - Unanimous,3,300,3,Pannie Kianzad,17,9,0,170.18,61.23,167.64,Orthodox,1991-12-08,4.88,49,4.09,51,0.41,33,65,0.1,Raquel Pennington,16,10,0,170.18,61.23,170.18,Orthodox,1988-09-05,4.1,49,3.32,61,0.83,27,62,0.6,Raquel Pennington
lightweight,0,KO/TKO,3,275,3,Rongzhu,26,6,0,175.26,70.31,180.34,Orthodox,2000-03-07,5.9,51,5.51,50,1.56,62,84,0.2,Brandon Jenkins,15,9,0,182.88,70.31,180.34,Switch,1991-09-30,2.93,41,8.05,33,0,0,27,0,Rongzhu
women's flyweight,0,Decision - Unanimous,3,300,3,Erin Blanchfield,13,2,0,162.56,56.7,167.64,Orthodox,1999-05-04,5.24,44,4.21,59,1.86,31,80,0.8,Sarah Alpar,9,6,0,162.56,61.23,160.02,Southpaw,1991-06-01,2.36,44,6.06,38,1.61,26,20,0.4,Erin Blanchfield
middleweight,0,KO/TKO,3,146,3,Joaquin Buckley,21,7,0,177.8,77.11,193.04,Southpaw,1994-04-27,3.88,36,2.93,59,1.54,45,72,0.1,Antonio Arroyo,9,5,0,190.5,83.91,185.42,Orthodox,1989-07-01,2.82,66,2.02,50,1.14,41,41,0.2,Joaquin Buckley
light heavyweight,0,Decision - Unanimous,3,300,3,Mike Rodriguez,11,7,0,193.04,92.99,208.28,Southpaw,1988-11-28,4.35,53,4.24,41,0,0,37,0,Tafon Nchukwi,6,4,0,182.88,83.91,195.58,Orthodox,1994-10-14,5.57,52,4.11,54,0.76,57,64,0,Tafon Nchukwi
welterweight,0,KO/TKO,1,158,3,Impa Kasanganay,9,2,0,180.34,77.11,190.5,Orthodox,1994-01-17,4.96,48,3.66,58,1.75,58,66,0.2,Carlston Harris,19,7,0,182.88,77.11,193.04,Orthodox,1987-07-09,3.79,43,3.46,54,1.46,22,55,0.6,Carlston Harris
bantamweight,0,Decision - Unanimous,3,300,3,Montel Jackson,15,2,0,177.8,61.23,190.5,Southpaw,1992-04-24,3.22,53,1.39,62,3.24,62,68,0.4,JP Buys,9,6,0,165.1,61.23,170.18,Orthodox,1996-04-30,1.88,39,3.02,40,1.55,25,25,2.3,Montel Jackson
middleweight,0,Submission,2,135,3,Bryan Battle,13,2,0,185.42,83.91,195.58,Orthodox,1994-09-21,5.12,52,4.11,44,0.77,17,53,0.4,Gilbert Urbina,7,4,0,190.5,77.11,190.5,Orthodox,1996-04-05,5.61,57,4.61,44,3.01,44,0,0.8,Bryan Battle
bantamweight,0,Decision - Unanimous,3,300,3,Gustavo Lopez,12,6,1,165.1,61.23,170.18,Orthodox,1989-06-27,2.48,40,3.87,57,1.74,41,31,0.7,Alatengheili,17,10,2,165.1,61.23,167.64,Orthodox,1991-12-14,2.82,32,5.12,57,1.74,43,75,0,
middleweight,0,KO/TKO,3,192,3,Andre Petroski,13,5,0,182.88,83.91,185.42,Switch,1991-06-12,2.82,49,2.75,52,3.21,51,86,1.3,Micheal Gillmore,6,5,0,180.34,77.11,182.88,Orthodox,1987-03-28,2.04,57,3.02,43,0,0,50,0,Andre Petroski
featherweight,0,KO/TKO,3,104,5,Edson Barboza,24,12,0,180.34,70.31,190.5,Orthodox,1986-01-21,4.11,44,4.65,56,0.45,50,72,0.1,Giga Chikadze,15,5,0,182.88,65.77,187.96,Orthodox,1988-08-25,3.82,42,3.48,60,0.19,33,65,0.2,Giga Chikadze
women's flyweight,0,Submission,1,257,3,Emily Whitmire,4,5,0,165.1,56.7,160.02,Orthodox,1991-05-24,2.5,31,2.98,54,1.9,66,70,0.5,Hannah Goldy,6,4,0,162.56,52.16,154.94,Orthodox,1992-05-18,5.19,47,4.67,50,0.66,12,54,0.2,Hannah Goldy
middleweight,0,KO/TKO,1,17,3,Alessio Di Chirico,13,7,0,182.88,83.91,187.96,Orthodox,1989-12-12,3.32,39,3.44,61,1.46,39,83,0,Abdul Razak Alhassan,12,7,0,177.8,83.91,185.42,Orthodox,1985-08-11,3.64,49,4.01,54,0.84,33,51,0.2,Abdul Razak Alhassan
bantamweight,0,Decision - Split,3,300,3,Ricky Turcios,13,5,0,175.26,61.23,180.34,Orthodox,1993-06-05,4.73,40,3.72,52,0.91,20,44,0.4,Brady Hiestand,9,2,0,172.72,61.23,180.34,Orthodox,1999-04-30,2.7,50,3.75,51,4.8,46,42,1.1,Ricky Turcios
middleweight,0,Submission,2,109,3,Makhmud Muradov,26,8,0,187.96,83.91,190.5,Orthodox,1990-02-08,4.21,43,2.57,61,3.03,66,77,0.2,Gerald Meerschaert,37,19,0,185.42,83.91,195.58,Southpaw,1987-12-18,3.05,45,3.43,53,1.86,31,42,1.4,Gerald Meerschaert
middleweight,0,Decision - Split,3,300,3,Sam Alvey,33,18,1,187.96,83.91,190.5,Southpaw,1986-05-06,3.28,44,3.63,52,0.06,14,82,0.1,Wellington Turman,18,8,0,182.88,77.11,182.88,Orthodox,1996-07-22,3.23,51,4.17,45,1.55,20,42,0.8,Wellington Turman
bantamweight,0,Decision - Split,3,300,3,Mana Martinez,10,4,0,177.8,61.23,177.8,Orthodox,1996-03-25,4.33,48,4.94,50,0.72,42,25,0.5,Guido Cannetti,10,8,0,167.64,61.23,172.72,Southpaw,1979-12-19,3.44,55,2.84,51,2.27,55,64,0.4,Mana Martinez
welterweight,0,Decision - Unanimous,3,300,3,Kevin Lee,18,8,0,175.26,77.11,195.58,Orthodox,1992-09-04,3.88,42,3.6,50,3.18,43,75,0.8,Daniel Rodriguez,19,5,0,185.42,77.11,187.96,Southpaw,1986-12-31,7.39,48,5.39,57,0.55,54,63,0.1,Daniel Rodriguez
light heavyweight,0,KO/TKO,1,184,3,Dustin Jacoby,21,9,1,190.5,92.99,193.04,Orthodox,1988-04-04,5.37,47,4.02,57,0.33,25,62,0,Darren Stewart,12,8,0,182.88,92.99,187.96,Orthodox,1990-12-30,3.05,45,3.29,48,1.75,45,67,0.1,Dustin Jacoby
middleweight,0,Decision - Unanimous,5,300,5,Jared Cannonier,18,8,0,180.34,83.91,195.58,Switch,1984-03-16,4.6,50,4.49,56,0.46,44,64,0,Kelvin Gastelum,20,10,0,175.26,83.91,180.34,Southpaw,1991-10-24,3.67,42,3.49,57,1.05,34,58,0.1,Jared Cannonier
women's flyweight,0,Decision - Unanimous,3,300,3,JJ Aldrich,14,7,0,165.1,56.7,170.18,Southpaw,1992-09-29,3.96,47,4.32,61,0.75,26,67,0,Vanessa Demopoulos,11,8,0,157.48,56.7,149.86,Orthodox,1988-09-22,3.37,39,5.39,41,0.32,9,26,0.4,JJ Aldrich
lightweight,0,Decision - Split,3,300,3,Clay Guida,38,22,0,170.18,70.31,177.8,Orthodox,1981-12-08,2.63,33,3,61,3.1,35,66,0.6,Mark Madsen,12,2,0,172.72,70.31,182.88,Orthodox,1984-09-23,3.56,49,3.97,52,2.86,66,62,0,Mark Madsen
bantamweight,0,Submission,3,279,3,Trevin Jones,13,10,0,170.18,61.23,177.8,Southpaw,1990-08-04,2.13,37,4.29,39,0.62,15,60,0.2,Saidyokub Kakhramonov,10,3,0,172.72,61.23,175.26,Orthodox,1995-11-14,2.05,51,0.88,58,6.63,48,83,1.9,Saidyokub Kakhramonov
featherweight,0,Submission,1,113,3,Jamall Emmers,21,8,0,177.8,65.77,187.96,Orthodox,1989-07-24,5.45,49,4.07,56,1.74,40,80,0.2,Pat Sabatini,20,5,0,172.72,65.77,177.8,Orthodox,1990-11-09,1.87,62,1.22,49,3.98,48,50,1.8,Pat Sabatini
flyweight,0,Submission,2,106,3,Alexandre Pantoja,30,5,0,165.1,56.7,170.18,Orthodox,1990-04-16,4.36,50,3.88,49,2.8,47,69,1,Brandon Royval,17,8,0,175.26,56.7,172.72,Southpaw,1992-08-16,5.55,41,4.23,43,0.67,75,45,1.1,Alexandre Pantoja
lightweight,0,Decision - Unanimous,3,300,3,Vinc Pichel,14,5,0,177.8,70.31,182.88,Orthodox,1982-11-23,3.78,46,3.17,54,2.5,51,31,0.2,Austin Hubbard,17,9,0,177.8,70.31,180.34,Orthodox,1991-12-22,3.87,43,3.82,56,1.59,31,68,0.1,Vinc Pichel
light heavyweight,0,KO/TKO,1,238,3,William Knight,11,5,0,177.8,92.99,185.42,Orthodox,1988-04-03,2.62,56,3.3,35,1.78,40,48,0.4,Fabio Cherant,7,4,0,185.42,92.99,187.96,Southpaw,1994-11-25,1.35,40,4.89,38,0,0,0,0,William Knight
featherweight,0,Decision - Unanimous,3,300,3,Austin Lingo,9,3,0,177.8,65.77,177.8,Orthodox,1994-07-10,3.86,37,4.86,57,0.43,66,75,0,Luis Saldana,16,7,1,180.34,65.77,185.42,Orthodox,1991-01-27,5.16,50,3.65,60,0.64,17,44,0.2,Austin Lingo
bantamweight,0,Decision - Unanimous,3,300,3,Brian Kelleher,24,16,0,167.64,61.23,167.64,Switch,1986-08-19,3.31,41,4.59,54,1.68,41,60,0.7,Domingo Pilarte,8,3,0,182.88,61.23,185.42,Southpaw,1990-01-05,1.31,47,2.96,40,1.2,42,54,0.8,Brian Kelleher
women's bantamweight,0,KO/TKO,1,294,3,Bea Malecki,4,1,0,175.26,61.23,187.96,Orthodox,1991-08-23,6.84,46,6.96,62,0,0,78,1.1,Josiane Nunes,10,4,0,157.48,61.23,170.18,Southpaw,1993-12-23,5.65,43,5.76,51,0,0,58,0,Josiane Nunes
heavyweight,0,Decision - Unanimous,3,300,3,Parker Porter,14,9,0,182.88,120.2,190.5,Orthodox,1985-04-22,6.55,50,6.32,51,1.35,26,66,0.5,Chase Sherman,16,12,0,193.04,113.4,198.12,Orthodox,1989-11-16,6.04,45,6.65,52,0.09,50,74,0,Parker Porter
